run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.4333,0.4927,0.4879,0.9130,0.8996,0.9003,624.2425,624.2425,624.2425,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.6092,0.6556,0.6513,0.8942,0.8817,0.8830,376.6743,376.6743,376.6743,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.7531,0.7932,0.7875,0.8748,0.8618,0.8652,308.8116,308.8116,308.8116,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.7713,0.8094,0.8052,0.8753,0.8625,0.8654,295.1703,295.1703,295.1703,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.7049,0.7443,0.7431,0.8880,0.8767,0.8772,313.3238,313.3238,313.3238,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.8966,0.9289,0.9250,0.8617,0.8501,0.8526,248.7758,248.7758,248.7758,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.9388,0.9684,0.9652,0.8580,0.8470,0.8489,234.1966,234.1966,234.1966,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.9787,1.0058,1.0031,0.8536,0.8432,0.8448,220.9336,220.9336,220.9336,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.9561,0.9824,0.9813,0.8564,0.8474,0.8463,221.9702,221.9702,221.9702,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.0709,1.0914,1.0912,0.8367,0.8290,0.8288,195.1352,195.1352,195.1352,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.2256,1.2390,1.2404,0.8109,0.8036,0.8021,164.8531,164.8531,164.8531,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.4006,1.4076,1.4102,0.7820,0.7736,0.7729,137.9081,137.9081,137.9081,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.5692,1.5722,1.5755,0.7454,0.7367,0.7358,116.1189,116.1189,116.1189,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.7134,1.7146,1.7172,0.7208,0.7122,0.7112,100.3615,100.3615,100.3615,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,1.9678,1.9682,1.9693,0.6794,0.6699,0.6704,77.6155,77.6155,77.6155,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.0920,2.0935,2.0939,0.6573,0.6466,0.6489,67.6627,67.6627,67.6627,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.3049,2.3046,2.3056,0.6046,0.5916,0.5947,53.4533,53.4533,53.4533,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.5909,2.5865,2.5902,0.5491,0.5377,0.5343,37.9249,37.9249,37.9249,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.8157,2.8084,2.8164,0.5009,0.4911,0.4891,27.4378,27.4378,27.4378,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.1333,3.1236,3.1359,0.3928,0.3858,0.3841,15.6570,15.6570,15.6570,16.0000,16.0000,16.0000
