run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.2959,0.4422,0.4377,0.9437,0.9107,0.9106,554.7026,554.7026,554.7026,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.4152,0.5527,0.5519,0.9307,0.8998,0.9001,352.5862,352.5862,352.5862,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.5039,0.6369,0.6345,0.9182,0.8872,0.8881,305.5270,305.5270,305.5270,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.5150,0.6485,0.6470,0.9185,0.8881,0.8887,295.0806,295.0806,295.0806,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.4971,0.6322,0.6327,0.9247,0.8947,0.8954,295.8297,295.8297,295.8297,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.5939,0.7239,0.7225,0.9115,0.8808,0.8829,258.7034,258.7034,258.7034,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.6590,0.7871,0.7858,0.9058,0.8747,0.8770,236.6789,236.6789,236.6789,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.6886,0.8148,0.8147,0.9034,0.8729,0.8735,224.8190,224.8190,224.8190,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.7130,0.8371,0.8393,0.9019,0.8735,0.8735,215.2453,215.2453,215.2453,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.8062,0.9256,0.9296,0.8906,0.8625,0.8612,193.2768,193.2768,193.2768,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.9337,1.0460,1.0539,0.8719,0.8446,0.8415,168.2313,168.2313,168.2313,16.0000,16.0000,16.0000
