run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.5338,0.5983,0.5825,0.8917,0.8776,0.8809,546.1509,546.1509,546.1509,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.7151,0.7666,0.7524,0.8715,0.8580,0.8621,342.1956,342.1956,342.1956,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.9064,0.9497,0.9356,0.8470,0.8328,0.8372,266.8713,266.8713,266.8713,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.8979,0.9405,0.9281,0.8502,0.8366,0.8409,263.3560,263.3560,263.3560,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.7679,0.8140,0.8041,0.8707,0.8587,0.8611,301.2262,301.2262,301.2262,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.0337,1.0694,1.0581,0.8355,0.8226,0.8254,220.8335,220.8335,220.8335,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.0803,1.1141,1.1031,0.8305,0.8183,0.8197,207.3938,207.3938,207.3938,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.1018,1.1335,1.1234,0.8271,0.8153,0.8159,199.4824,199.4824,199.4824,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.0143,1.0470,1.0384,0.8404,0.8309,0.8311,213.7295,213.7295,213.7295,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.1217,1.1491,1.1415,0.8213,0.8124,0.8138,188.8136,188.8136,188.8136,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.3057,1.3237,1.3190,0.7919,0.7841,0.7834,154.7836,154.7836,154.7836,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.4727,1.4845,1.4820,0.7612,0.7508,0.7536,129.9281,129.9281,129.9281,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.6529,1.6594,1.6583,0.7245,0.7133,0.7174,107.8692,107.8692,107.8692,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.7538,1.7590,1.7588,0.7032,0.6926,0.6948,96.4377,96.4377,96.4377,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.0312,2.0335,2.0335,0.6649,0.6529,0.6579,72.5681,72.5681,72.5681,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.1103,2.1134,2.1134,0.6509,0.6397,0.6420,66.0497,66.0497,66.0497,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.3229,2.3229,2.3237,0.5958,0.5841,0.5857,52.0884,52.0884,52.0884,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.5885,2.5839,2.5892,0.5464,0.5361,0.5330,37.5000,37.5000,37.5000,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.8267,2.8186,2.8283,0.4958,0.4867,0.4832,26.6450,26.6450,26.6450,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.1307,3.1212,3.1348,0.3863,0.3764,0.3741,15.3499,15.3499,15.3499,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.2913,3.2831,3.2979,0.3061,0.3041,0.3017,10.1687,10.1687,10.1687,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.4679,3.4651,3.4787,0.2628,0.2613,0.2582,5.6181,5.6181,5.6181,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.5776,3.5771,3.5891,0.1734,0.1681,0.1660,3.2727,3.2727,3.2727,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6580,3.6589,3.6686,0.1729,0.1677,0.1654,1.9392,1.9392,1.9392,16.0000,16.0000,16.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6656,3.6667,3.6760,0.1729,0.1677,0.1654,1.8140,1.8140,1.8140,15.0000,15.0000,15.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6796,3.6812,3.6898,0.1729,0.1677,0.1654,1.6555,1.6555,1.6555,15.0000,15.0000,15.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.7050,3.7070,3.7145,0.1729,0.1677,0.1654,1.4335,1.4335,1.4335,16.0000,16.0000,16.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7269,3.7293,3.7359,0.1729,0.1677,0.1654,1.2599,1.2599,1.2599,16.0000,16.0000,16.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7552,3.7578,3.7635,0.1729,0.1677,0.1654,1.0697,1.0697,1.0697,15.0000,15.0000,15.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7895,3.7920,3.7968,0.1729,0.1677,0.1654,0.8745,0.8745,0.8745,15.0000,15.0000,15.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8498,3.8519,3.8550,0.1729,0.1677,0.1654,0.5883,0.5883,0.5883,16.0000,16.0000,16.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9468,3.9476,3.9486,0.1729,0.1677,0.1654,0.2012,0.2012,0.2012,15.0000,15.0000,15.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9867,3.9869,3.9872,0.1729,0.1677,0.1654,0.0688,0.0688,0.0688,16.0000,16.0000,16.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9976,3.9976,3.9976,0.1729,0.1677,0.1654,0.0324,0.0324,0.0324,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9993,3.9994,3.9994,0.1729,0.1677,0.1654,0.0255,0.0255,0.0255,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9997,3.9997,3.9997,0.1947,0.1934,0.1922,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9997,3.9997,3.9998,0.1730,0.1678,0.1655,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9998,3.9998,3.9998,0.1672,0.1628,0.1605,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9998,3.9998,3.9998,0.1633,0.1556,0.1558,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9999,3.9999,3.9999,0.1729,0.1678,0.1654,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9999,3.9999,3.9999,0.1363,0.1341,0.1284,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,4.0000,4.0000,4.0000,0.0733,0.0793,0.0829,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,4.0000,4.0000,4.0000,0.1495,0.1493,0.1440,0.0249,0.0249,0.0249,16.0000,16.0000,16.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,3.9999,3.9999,3.9999,0.1321,0.1212,0.1216,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,3.9999,0.1747,0.1691,0.1704,0.0241,0.0241,0.0241,16.0000,16.0000,16.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,4.0000,4.0000,4.0000,0.1189,0.1178,0.1165,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,4.0000,4.0000,4.0000,0.0856,0.0790,0.0800,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,4.0000,4.0000,4.0000,0.0771,0.0760,0.0762,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
48,248,1,0.49,768,6.6307252030723465,16,False,False,4.0000,4.0000,4.0000,0.1114,0.1103,0.1158,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
49,670,0,0.45,768,8.0,16,False,False,4.0000,4.0000,4.0000,0.1317,0.1363,0.1382,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
