run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.5298,0.6030,0.5871,0.8929,0.8770,0.8799,547.4983,547.4983,547.4983,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.7093,0.7684,0.7534,0.8728,0.8582,0.8618,344.3036,344.3036,344.3036,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.9028,0.9534,0.9376,0.8472,0.8315,0.8360,268.2371,268.2371,268.2371,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.8876,0.9373,0.9235,0.8509,0.8363,0.8404,266.6443,266.6443,266.6443,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.7651,0.8183,0.8074,0.8718,0.8578,0.8607,301.7608,301.7608,301.7608,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.0323,1.0749,1.0622,0.8359,0.8226,0.8241,220.7878,220.7878,220.7878,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.0775,1.1177,1.1056,0.8302,0.8167,0.8176,207.6673,207.6673,207.6673,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.0943,1.1331,1.1218,0.8292,0.8158,0.8166,200.5831,200.5831,200.5831,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.0132,1.0535,1.0432,0.8408,0.8295,0.8299,213.5748,213.5748,213.5748,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.1211,1.1562,1.1465,0.8220,0.8122,0.8120,188.5463,188.5463,188.5463,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.2871,1.3146,1.3069,0.7938,0.7841,0.7847,157.0264,157.0264,157.0264,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.4633,1.4836,1.4787,0.7598,0.7485,0.7507,130.5650,130.5650,130.5650,16.0000,16.0000,16.0000
