run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.7779,0.8680,0.8464,0.8383,0.8156,0.8227,388.9928,388.9928,388.9928,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.9154,0.9977,0.9785,0.8227,0.8011,0.8078,270.4029,270.4029,270.4029,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,1.1639,1.2374,1.2208,0.7909,0.7704,0.7745,198.2990,198.2990,198.2990,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,1.1078,1.1823,1.1665,0.7983,0.7782,0.7836,206.5484,206.5484,206.5484,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.9179,0.9968,0.9811,0.8262,0.8062,0.8110,254.7945,254.7945,254.7945,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.2519,1.3206,1.3069,0.7821,0.7616,0.7675,171.9813,171.9813,171.9813,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.2908,1.3573,1.3446,0.7776,0.7582,0.7637,162.7558,162.7558,162.7558,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.2881,1.3536,1.3417,0.7783,0.7600,0.7651,160.3331,160.3331,160.3331,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.1166,1.1837,1.1725,0.8034,0.7874,0.7906,188.0883,188.0883,188.0883,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.1852,1.2481,1.2385,0.7923,0.7771,0.7797,171.9200,171.9200,171.9200,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.3826,1.4393,1.4312,0.7621,0.7478,0.7522,138.0121,138.0121,138.0121,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.5273,1.5785,1.5731,0.7419,0.7275,0.7307,117.4462,117.4462,117.4462,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.7166,1.7606,1.7581,0.7144,0.6992,0.7034,96.2528,96.2528,96.2528,16.0000,16.0000,16.0000
