run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.8494,0.9444,0.9142,0.8288,0.8061,0.8144,407.3868,407.3868,407.3868,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,1.0548,1.1267,1.1002,0.8038,0.7854,0.7931,263.7094,263.7094,263.7094,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,1.3308,1.3849,1.3630,0.7651,0.7482,0.7592,190.7144,190.7144,190.7144,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,1.2915,1.3463,1.3251,0.7707,0.7546,0.7660,194.2067,194.2067,194.2067,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.0324,1.1031,1.0799,0.8121,0.7934,0.8002,257.0546,257.0546,257.0546,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.4508,1.4962,1.4780,0.7507,0.7358,0.7454,159.9563,159.9563,159.9563,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.4778,1.5219,1.5041,0.7471,0.7325,0.7418,153.2921,153.2921,153.2921,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.4706,1.5142,1.4966,0.7476,0.7330,0.7429,151.5840,151.5840,151.5840,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.2285,1.2835,1.2636,0.7822,0.7697,0.7751,191.0429,191.0429,191.0429,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.3139,1.3628,1.3443,0.7665,0.7558,0.7619,170.9105,170.9105,170.9105,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.5469,1.5828,1.5688,0.7296,0.7197,0.7270,131.2741,131.2741,131.2741,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.7335,1.7625,1.7518,0.6920,0.6826,0.6884,106.3369,106.3369,106.3369,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.9082,1.9334,1.9254,0.6623,0.6520,0.6551,87.2427,87.2427,87.2427,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.9717,1.9981,1.9914,0.6552,0.6433,0.6446,79.9711,79.9711,79.9711,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.2337,2.2597,2.2546,0.6235,0.6070,0.6101,59.1459,59.1459,59.1459,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.2220,2.2516,2.2458,0.6193,0.6045,0.6048,59.1089,59.1089,59.1089,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.3879,2.4173,2.4126,0.5726,0.5569,0.5591,48.1872,48.1872,48.1872,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.6637,2.6899,2.6882,0.5033,0.4881,0.4909,33.3805,33.3805,33.3805,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.8639,2.8870,2.8905,0.4328,0.4114,0.4124,24.1983,24.1983,24.1983,16.0000,16.0000,16.0000
