run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.8509,0.9229,0.8939,0.8274,0.8106,0.8161,415.0027,415.0027,415.0027,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,1.0436,1.0965,1.0718,0.8047,0.7907,0.7958,270.5716,270.5716,270.5716,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,1.3364,1.3725,1.3526,0.7637,0.7503,0.7590,190.5861,190.5861,190.5861,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,1.2985,1.3353,1.3158,0.7707,0.7573,0.7676,193.8929,193.8929,193.8929,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.0264,1.0775,1.0563,0.8124,0.7991,0.8029,261.6981,261.6981,261.6981,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.4494,1.4779,1.4613,0.7510,0.7400,0.7481,161.3151,161.3151,161.3151,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.4740,1.5014,1.4853,0.7474,0.7370,0.7453,155.0355,155.0355,155.0355,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.4707,1.4968,1.4811,0.7477,0.7373,0.7461,152.6893,152.6893,152.6893,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.2389,1.2742,1.2563,0.7817,0.7723,0.7778,190.5842,190.5842,190.5842,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.3326,1.3613,1.3450,0.7645,0.7571,0.7628,169.0849,169.0849,169.0849,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.5611,1.5780,1.5664,0.7278,0.7208,0.7289,130.3815,130.3815,130.3815,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.7338,1.7444,1.7363,0.6938,0.6874,0.6938,107.2418,107.2418,107.2418,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.9137,1.9205,1.9147,0.6606,0.6540,0.6561,87.6244,87.6244,87.6244,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.9628,1.9707,1.9659,0.6545,0.6464,0.6469,81.5779,81.5779,81.5779,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.2358,2.2428,2.2399,0.6215,0.6098,0.6117,59.7234,59.7234,59.7234,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.2259,2.2360,2.2324,0.6166,0.6058,0.6057,59.5563,59.5563,59.5563,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.4021,2.4112,2.4090,0.5677,0.5562,0.5587,47.9869,47.9869,47.9869,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.6645,2.6702,2.6721,0.5031,0.4919,0.4936,33.7494,33.7494,33.7494,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.8765,2.8805,2.8879,0.4384,0.4236,0.4219,24.0292,24.0292,24.0292,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.1263,3.1286,3.1396,0.3748,0.3608,0.3565,14.7803,14.7803,14.7803,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.2769,3.2797,3.2919,0.3303,0.3228,0.3203,10.1779,10.1779,10.1779,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.4517,3.4575,3.4690,0.2739,0.2677,0.2658,5.7712,5.7712,5.7712,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.5690,3.5765,3.5864,0.2009,0.1920,0.1886,3.3270,3.3270,3.3270,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6520,3.6590,3.6672,0.1748,0.1677,0.1654,1.9548,1.9548,1.9548,15.0000,15.0000,15.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6519,3.6594,3.6674,0.1748,0.1677,0.1654,1.9032,1.9032,1.9032,16.0000,16.0000,16.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6662,3.6739,3.6813,0.1748,0.1677,0.1654,1.7340,1.7340,1.7340,15.0000,15.0000,15.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6990,3.7063,3.7126,0.1748,0.1677,0.1654,1.4463,1.4463,1.4463,15.0000,15.0000,15.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7210,3.7281,3.7337,0.1748,0.1677,0.1654,1.2733,1.2733,1.2733,15.0000,15.0000,15.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7492,3.7560,3.7607,0.1748,0.1677,0.1654,1.0844,1.0844,1.0844,15.0000,15.0000,15.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7846,3.7906,3.7946,0.1748,0.1677,0.1654,0.8845,0.8845,0.8845,15.0000,15.0000,15.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8425,3.8471,3.8498,0.1748,0.1677,0.1654,0.6066,0.6066,0.6066,15.0000,15.0000,15.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9274,3.9294,3.9306,0.1748,0.1677,0.1654,0.2693,0.2693,0.2693,15.0000,15.0000,15.0000
