run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.4199,0.4705,0.4645,0.9173,0.9047,0.9079,615.3329,615.3329,615.3329,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.5822,0.6218,0.6173,0.9006,0.8896,0.8919,382.5654,382.5654,382.5654,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.6824,0.7177,0.7125,0.8879,0.8762,0.8787,330.1367,330.1367,330.1367,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.7090,0.7427,0.7387,0.8874,0.8761,0.8792,312.3321,312.3321,312.3321,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.6711,0.7054,0.7037,0.8958,0.8843,0.8868,321.1074,321.1074,321.1074,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.8244,0.8533,0.8491,0.8760,0.8637,0.8681,265.2383,265.2383,265.2383,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.8707,0.8967,0.8934,0.8718,0.8605,0.8633,248.2699,248.2699,248.2699,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.9363,0.9593,0.9560,0.8639,0.8532,0.8550,228.4517,228.4517,228.4517,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.9318,0.9530,0.9518,0.8637,0.8555,0.8557,225.4390,225.4390,225.4390,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.0473,1.0623,1.0624,0.8450,0.8372,0.8390,198.2366,198.2366,198.2366,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.2037,1.2111,1.2138,0.8229,0.8153,0.8152,167.7095,167.7095,167.7095,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.3558,1.3578,1.3620,0.7976,0.7897,0.7906,143.3055,143.3055,143.3055,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.5241,1.5222,1.5266,0.7596,0.7513,0.7519,121.0138,121.0138,121.0138,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.6804,1.6758,1.6799,0.7317,0.7233,0.7239,103.7214,103.7214,103.7214,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,1.9305,1.9248,1.9274,0.6846,0.6764,0.6769,80.9363,80.9363,80.9363,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.0739,2.0693,2.0715,0.6563,0.6468,0.6474,69.3842,69.3842,69.3842,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.2993,2.2940,2.2970,0.6055,0.5947,0.5934,54.3400,54.3400,54.3400,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.5949,2.5868,2.5925,0.5520,0.5405,0.5368,38.2369,38.2369,38.2369,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.8354,2.8251,2.8349,0.5055,0.4976,0.4942,27.2233,27.2233,27.2233,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.1301,3.1175,3.1312,0.3987,0.3923,0.3919,15.9285,15.9285,15.9285,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.3253,3.3146,3.3296,0.2839,0.2853,0.2820,9.6700,9.6700,9.6700,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.5032,3.4981,3.5122,0.2447,0.2394,0.2385,5.0352,5.0352,5.0352,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.6242,3.6210,3.6333,0.1722,0.1677,0.1654,2.4616,2.4616,2.4616,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6426,3.6401,3.6517,0.1722,0.1677,0.1654,2.1175,2.1175,2.1175,16.0000,16.0000,16.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6640,3.6623,3.6728,0.1722,0.1677,0.1654,1.8323,1.8323,1.8323,15.0000,15.0000,15.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6879,3.6872,3.6963,0.1722,0.1677,0.1654,1.5941,1.5941,1.5941,16.0000,16.0000,16.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.7054,3.7051,3.7134,0.1722,0.1677,0.1654,1.4317,1.4317,1.4317,16.0000,16.0000,16.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7273,3.7276,3.7349,0.1722,0.1677,0.1654,1.2572,1.2572,1.2572,16.0000,16.0000,16.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7555,3.7562,3.7625,0.1722,0.1677,0.1654,1.0682,1.0682,1.0682,16.0000,16.0000,16.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7898,3.7910,3.7962,0.1722,0.1677,0.1654,0.8714,0.8714,0.8714,16.0000,16.0000,16.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8489,3.8500,3.8535,0.1722,0.1677,0.1654,0.5868,0.5868,0.5868,15.0000,15.0000,15.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9454,3.9458,3.9470,0.1722,0.1677,0.1654,0.2057,0.2057,0.2057,15.0000,15.0000,15.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9870,3.9871,3.9874,0.1722,0.1677,0.1654,0.0671,0.0671,0.0671,16.0000,16.0000,16.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9976,3.9977,3.9977,0.1722,0.1677,0.1654,0.0316,0.0316,0.0316,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9992,3.9992,3.9993,0.1722,0.1677,0.1654,0.0264,0.0264,0.0264,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9997,3.9997,3.9997,0.1741,0.1712,0.1694,0.0257,0.0257,0.0257,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9997,3.9997,3.9997,0.1722,0.1677,0.1654,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9998,3.9998,3.9998,0.1717,0.1664,0.1654,0.0255,0.0255,0.0255,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9998,3.9998,3.9998,0.1616,0.1589,0.1622,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9999,3.9999,3.9999,0.1722,0.1677,0.1654,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9999,3.9999,3.9999,0.0832,0.0805,0.0766,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,3.9999,3.9999,3.9999,0.0795,0.0817,0.0906,0.0258,0.0258,0.0258,16.0000,16.0000,16.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,3.9999,3.9999,3.9999,0.0761,0.0747,0.0763,0.0242,0.0242,0.0242,16.0000,16.0000,16.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,3.9999,3.9999,3.9999,0.1623,0.1600,0.1564,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,3.9999,0.1703,0.1670,0.1639,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,3.9999,3.9999,3.9999,0.1265,0.1329,0.1330,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,4.0000,4.0000,4.0000,0.0931,0.0911,0.0889,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,4.0000,4.0000,4.0000,0.0554,0.0502,0.0514,0.0240,0.0240,0.0240,16.0000,16.0000,16.0000
