run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.5774,0.6383,0.6272,0.8818,0.8678,0.8685,454.3282,454.3282,454.3282,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.7220,0.7784,0.7687,0.8652,0.8503,0.8521,301.5319,301.5319,301.5319,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.8880,0.9418,0.9314,0.8425,0.8273,0.8313,241.9450,241.9450,241.9450,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.8678,0.9211,0.9124,0.8467,0.8311,0.8355,241.8338,241.8338,241.8338,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.7455,0.7995,0.7937,0.8670,0.8530,0.8541,274.1119,274.1119,274.1119,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.9995,1.0492,1.0414,0.8335,0.8195,0.8221,202.4924,202.4924,202.4924,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.0385,1.0870,1.0798,0.8293,0.8154,0.8172,191.4444,191.4444,191.4444,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.0506,1.0974,1.0915,0.8292,0.8163,0.8167,185.6483,185.6483,185.6483,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.9578,1.0035,1.0002,0.8447,0.8321,0.8330,199.9454,199.9454,199.9454,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.0274,1.0695,1.0678,0.8334,0.8226,0.8231,182.7853,182.7853,182.7853,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.1965,1.2335,1.2330,0.8066,0.7967,0.7971,152.0087,152.0087,152.0087,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.3588,1.3899,1.3928,0.7860,0.7751,0.7767,128.2871,128.2871,128.2871,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.5224,1.5500,1.5531,0.7608,0.7497,0.7521,108.9709,108.9709,108.9709,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.6144,1.6393,1.6430,0.7386,0.7269,0.7304,98.5253,98.5253,98.5253,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,1.8764,1.8965,1.9006,0.6898,0.6768,0.6794,76.5305,76.5305,76.5305,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,1.9428,1.9624,1.9670,0.6671,0.6557,0.6580,70.3570,70.3570,70.3570,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.1499,2.1650,2.1715,0.6238,0.6107,0.6120,56.6577,56.6577,56.6577,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.4336,2.4445,2.4546,0.5761,0.5626,0.5635,41.3825,41.3825,41.3825,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.6225,2.6295,2.6417,0.5442,0.5335,0.5330,32.6574,32.6574,32.6574,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,2.9482,2.9478,2.9610,0.4636,0.4533,0.4589,20.5859,20.5859,20.5859,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.2063,3.2002,3.2145,0.3410,0.3367,0.3389,12.5955,12.5955,12.5955,16.0000,16.0000,16.0000
