run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.2956,0.3621,0.3636,0.9400,0.9251,0.9238,603.7787,603.7787,603.7787,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.4382,0.4981,0.4989,0.9245,0.9132,0.9103,357.2356,357.2356,357.2356,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.4957,0.5549,0.5540,0.9165,0.9049,0.9022,322.9120,322.9120,322.9120,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.5088,0.5670,0.5670,0.9157,0.9041,0.9006,309.5209,309.5209,309.5209,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.5188,0.5753,0.5774,0.9177,0.9072,0.9039,298.3983,298.3983,298.3983,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.6210,0.6762,0.6755,0.9058,0.8941,0.8927,258.9987,258.9987,258.9987,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.6669,0.7212,0.7202,0.9022,0.8901,0.8904,241.4584,241.4584,241.4584,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.7008,0.7537,0.7533,0.8998,0.8881,0.8878,227.9718,227.9718,227.9718,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.7443,0.7949,0.7956,0.8979,0.8860,0.8852,214.4969,214.4969,214.4969,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.8237,0.8718,0.8725,0.8872,0.8758,0.8739,194.6902,194.6902,194.6902,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.9487,0.9935,0.9934,0.8660,0.8550,0.8549,170.2704,170.2704,170.2704,16.0000,16.0000,16.0000
