run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3502,0.4686,0.4650,0.9318,0.9045,0.9050,670.3009,670.3009,670.3009,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.5236,0.6177,0.6158,0.9123,0.8884,0.8901,394.3759,394.3759,394.3759,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.6405,0.7270,0.7228,0.8977,0.8744,0.8761,332.9356,332.9356,332.9356,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.6506,0.7365,0.7330,0.8983,0.8745,0.8770,322.3133,322.3133,322.3133,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.6251,0.7134,0.7121,0.9053,0.8815,0.8832,325.9707,325.9707,325.9707,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.7589,0.8393,0.8357,0.8886,0.8641,0.8657,274.8970,274.8970,274.8970,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.8247,0.9020,0.8979,0.8826,0.8576,0.8595,252.1830,252.1830,252.1830,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.8880,0.9618,0.9577,0.8761,0.8517,0.8531,232.6600,232.6600,232.6600,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.8894,0.9627,0.9605,0.8758,0.8530,0.8526,228.0462,228.0462,228.0462,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.0055,1.0726,1.0706,0.8544,0.8328,0.8324,200.6183,200.6183,200.6183,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.1611,1.2185,1.2191,0.8302,0.8097,0.8109,170.0399,170.0399,170.0399,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.3165,1.3662,1.3692,0.8048,0.7828,0.7841,144.8857,144.8857,144.8857,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.4871,1.5326,1.5353,0.7685,0.7476,0.7485,122.2465,122.2465,122.2465,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.6341,1.6783,1.6803,0.7400,0.7197,0.7195,105.4014,105.4014,105.4014,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,1.8919,1.9336,1.9331,0.7056,0.6857,0.6848,81.8660,81.8660,81.8660,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.0339,2.0762,2.0743,0.6820,0.6622,0.6632,70.5081,70.5081,70.5081,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.2672,2.3065,2.3031,0.6346,0.6146,0.6185,55.1784,55.1784,55.1784,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.5467,2.5813,2.5779,0.5713,0.5542,0.5617,39.9196,39.9196,39.9196,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.8204,2.8476,2.8473,0.4831,0.4712,0.4740,27.5735,27.5735,27.5735,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.1399,3.1595,3.1651,0.3699,0.3630,0.3618,15.5509,15.5509,15.5509,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.3168,3.3326,3.3408,0.2819,0.2852,0.2818,9.6438,9.6438,9.6438,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.4894,3.5062,3.5148,0.2419,0.2365,0.2356,5.0996,5.0996,5.0996,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.5859,3.5980,3.6061,0.1693,0.1677,0.1654,3.0457,3.0457,3.0457,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6340,3.6440,3.6515,0.1693,0.1677,0.1654,2.1600,2.1600,2.1600,16.0000,16.0000,16.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6557,3.6655,3.6721,0.1693,0.1677,0.1654,1.8730,1.8730,1.8730,16.0000,16.0000,16.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6807,3.6902,3.6959,0.1693,0.1677,0.1654,1.6214,1.6214,1.6214,16.0000,16.0000,16.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6881,3.6972,3.7027,0.1693,0.1677,0.1654,1.5356,1.5356,1.5356,16.0000,16.0000,16.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7205,3.7290,3.7334,0.1693,0.1677,0.1654,1.2825,1.2825,1.2825,14.0000,14.0000,14.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7455,3.7531,3.7570,0.1693,0.1677,0.1654,1.1141,1.1141,1.1141,16.0000,16.0000,16.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7837,3.7902,3.7933,0.1693,0.1677,0.1654,0.8942,0.8942,0.8942,15.0000,15.0000,15.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8428,3.8474,3.8496,0.1693,0.1677,0.1654,0.6083,0.6083,0.6083,14.0000,14.0000,14.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9483,3.9497,3.9504,0.1693,0.1677,0.1654,0.1944,0.1944,0.1944,15.0000,15.0000,15.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9857,3.9860,3.9862,0.1693,0.1677,0.1654,0.0719,0.0719,0.0719,16.0000,16.0000,16.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9975,3.9976,3.9976,0.1693,0.1677,0.1654,0.0318,0.0318,0.0318,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9993,3.9993,3.9993,0.1693,0.1677,0.1654,0.0270,0.0270,0.0270,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9997,3.9997,3.9997,0.2035,0.2034,0.1994,0.0255,0.0255,0.0255,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9998,3.9998,3.9998,0.1693,0.1674,0.1648,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9998,3.9998,3.9998,0.1436,0.1405,0.1414,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9998,3.9998,3.9998,0.1743,0.1778,0.1771,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9999,3.9999,3.9999,0.1694,0.1676,0.1656,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9999,3.9999,3.9999,0.1223,0.1263,0.1292,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,3.9999,3.9999,3.9999,0.1156,0.1100,0.1102,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,3.9999,3.9999,3.9999,0.0926,0.0945,0.0966,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,4.0000,4.0000,4.0000,0.1420,0.1501,0.1494,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,3.9999,0.1428,0.1405,0.1392,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,3.9999,3.9999,3.9999,0.1227,0.1227,0.1232,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,4.0000,4.0000,4.0000,0.0784,0.0976,0.0929,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,4.0000,4.0000,4.0000,0.0419,0.0410,0.0415,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
48,248,1,0.49,768,6.6307252030723465,16,False,False,4.0000,4.0000,4.0000,0.0056,0.0063,0.0071,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
49,670,0,0.45,768,8.0,16,False,False,4.0000,4.0000,4.0000,0.0151,0.0169,0.0191,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
