run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,1.2845,1.4174,1.3937,0.7304,0.7040,0.7118,266.2578,266.2578,266.2578,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,1.4719,1.5808,1.5612,0.7088,0.6839,0.6914,179.8439,179.8439,179.8439,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,1.7901,1.8778,1.8627,0.6647,0.6403,0.6448,122.4356,122.4356,122.4356,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,1.7203,1.8101,1.7946,0.6763,0.6527,0.6562,129.9379,129.9379,129.9379,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.3844,1.4980,1.4783,0.7229,0.6979,0.7053,194.2617,194.2617,194.2617,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.8508,1.9322,1.9189,0.6563,0.6331,0.6361,109.1704,109.1704,109.1704,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.8656,1.9453,1.9325,0.6530,0.6303,0.6340,105.8346,105.8346,105.8346,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.8361,1.9158,1.9031,0.6567,0.6346,0.6378,107.3197,107.3197,107.3197,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.5124,1.6109,1.5944,0.7056,0.6820,0.6889,154.0945,154.0945,154.0945,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.5592,1.6527,1.6373,0.6949,0.6724,0.6798,142.8698,142.8698,142.8698,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.8021,1.8774,1.8668,0.6522,0.6349,0.6378,104.2685,104.2685,104.2685,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.9683,2.0331,2.0264,0.6254,0.6095,0.6089,84.1706,84.1706,84.1706,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,2.1322,2.1895,2.1855,0.6011,0.5813,0.5833,68.0705,68.0705,68.0705,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,2.1417,2.1999,2.1966,0.6026,0.5838,0.5851,65.9328,65.9328,65.9328,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.4011,2.4537,2.4518,0.5727,0.5499,0.5547,47.3786,47.3786,47.3786,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.3127,2.3741,2.3710,0.5807,0.5566,0.5620,51.9478,51.9478,51.9478,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.4522,2.5087,2.5061,0.5460,0.5239,0.5290,43.0082,43.0082,43.0082,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.6817,2.7275,2.7274,0.4981,0.4749,0.4794,31.0322,31.0322,31.0322,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.8111,2.8505,2.8528,0.4443,0.4223,0.4299,25.1101,25.1101,25.1101,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.1182,3.1405,3.1484,0.3688,0.3585,0.3566,14.0236,14.0236,14.0236,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.2470,3.2636,3.2732,0.3197,0.3147,0.3143,10.1600,10.1600,10.1600,15.0000,15.0000,15.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.4017,3.4173,3.4268,0.2736,0.2700,0.2687,6.4054,6.4054,6.4054,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.5276,3.5418,3.5499,0.2616,0.2568,0.2553,3.9375,3.9375,3.9375,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6020,3.6157,3.6225,0.1733,0.1686,0.1661,2.6367,2.6367,2.6367,14.0000,14.0000,14.0000
